
lr = 0.0001
epsilon = 0.1
gamma = 0.99
c0 = 1
c1 = 0.01*0.01
c2 = 0.1*0.1
epochs = 3000
K_epochs = 5


[Model1] Layers: 5, Setup: [[8, 1024], [1024, 128], [128, 16], [16, 256], [256, 256]]
[Model2] Layers: 5, Setup: [[8, 1024], [1024, 128], [128, 16], [16, 256], [256, 256]]
[Model3] Layers: 5, Setup: [[8, 1024], [1024, 128], [128, 16], [16, 256], [256, 256]]
[Model4] Layers: 5, Setup: [[8, 1024], [1024, 128], [128, 16], [16, 256], [256, 256]]
[Model5] Layers: 5, Setup: [[8, 1024], [1024, 128], [128, 16], [16, 256], [256, 256]]
[Model6] Layers: 5, Setup: [[8, 1024], [1024, 128], [128, 16], [16, 256], [256, 256]]
[Model7] Layers: 5, Setup: [[8, 1024], [1024, 128], [128, 16], [16, 256], [256, 256]]
[Model8] Layers: 5, Setup: [[8, 1024], [1024, 128], [128, 16], [16, 256], [256, 256]]
[Model9] Layers: 5, Setup: [[8, 1024], [1024, 128], [128, 16], [16, 256], [256, 256]]

[Model 6580] Epoch: 700, L_clip: 0.05, Squared loss: 0.01, Entropy loss: 0.04, Avg Rewards: -4.83, Time elapsed: 35.41s
[Model 6585] Epoch: 700, L_clip: -0.30, Squared loss: 0.01, Entropy loss: 0.04, Avg Rewards: -4.82, Time elapsed: 35.80s
[Model 6586] Epoch: 700, L_clip: -0.07, Squared loss: 0.01, Entropy loss: 0.05, Avg Rewards: -4.80, Time elapsed: 35.78s
[Model 6584] Epoch: 700, L_clip: -0.32, Squared loss: 0.01, Entropy loss: 0.06, Avg Rewards: -4.85, Time elapsed: 36.20s
[Model 6588] Epoch: 700, L_clip: -0.47, Squared loss: 0.01, Entropy loss: 0.05, Avg Rewards: -4.79, Time elapsed: 36.21s
[Model 6587] Epoch: 700, L_clip: -0.15, Squared loss: 0.01, Entropy loss: 0.02, Avg Rewards: -4.81, Time elapsed: 36.66s
[Model 6583] Epoch: 700, L_clip: -0.24, Squared loss: 0.01, Entropy loss: 0.05, Avg Rewards: -4.92, Time elapsed: 36.69s
[Model 6582] Epoch: 700, L_clip: -0.21, Squared loss: 0.01, Entropy loss: 0.05, Avg Rewards: -4.73, Time elapsed: 37.36s
[Model 6581] Epoch: 700, L_clip: -0.25, Squared loss: 0.01, Entropy loss: 0.04, Avg Rewards: -4.78, Time elapsed: 37.54s
[Model 6580] Epoch: 800, L_clip: -0.60, Squared loss: 0.02, Entropy loss: 0.04, Avg Rewards: -4.68, Time elapsed: 40.58s
[Model 6589] Epoch: 800, L_clip: -0.02, Squared loss: 0.01, Entropy loss: 0.03, Avg Rewards: -4.81, Time elapsed: 40.80s
[Model 6585] Epoch: 800, L_clip: 0.01, Squared loss: 0.01, Entropy loss: 0.05, Avg Rewards: -4.77, Time elapsed: 40.92s
[Model 6586] Epoch: 800, L_clip: -0.22, Squared loss: 0.01, Entropy loss: 0.05, Avg Rewards: -4.62, Time elapsed: 41.45s
[Model 6588] Epoch: 800, L_clip: -0.17, Squared loss: 0.01, Entropy loss: 0.05, Avg Rewards: -4.80, Time elapsed: 41.53s
[Model 6584] Epoch: 800, L_clip: -0.30, Squared loss: 0.01, Entropy loss: 0.05, Avg Rewards: -4.76, Time elapsed: 41.58s
[Model 6587] Epoch: 800, L_clip: -0.39, Squared loss: 0.01, Entropy loss: 0.03, Avg Rewards: -4.82, Time elapsed: 41.68s
[Model 6583] Epoch: 800, L_clip: -0.06, Squared loss: 0.00, Entropy loss: 0.06, Avg Rewards: -4.77, Time elapsed: 41.88s
[Model 6582] Epoch: 800, L_clip: -0.19, Squared loss: 0.01, Entropy loss: 0.06, Avg Rewards: -4.76, Time elapsed: 42.68s
[Model 6581] Epoch: 800, L_clip: -0.42, Squared loss: 0.01, Entropy loss: 0.06, Avg Rewards: -4.84, Time elapsed: 42.93s
[Model 6589] Epoch: 900, L_clip: -0.21, Squared loss: 0.01, Entropy loss: 0.03, Avg Rewards: -4.93, Time elapsed: 45.69s
[Model 6580] Epoch: 900, L_clip: -0.19, Squared loss: 0.01, Entropy loss: 0.05, Avg Rewards: -4.56, Time elapsed: 46.19s
[Model 6585] Epoch: 900, L_clip: -0.09, Squared loss: 0.01, Entropy loss: 0.06, Avg Rewards: -4.72, Time elapsed: 46.31s
[Model 6587] Epoch: 900, L_clip: -0.33, Squared loss: 0.01, Entropy loss: 0.04, Avg Rewards: -4.95, Time elapsed: 46.42s
[Model 6586] Epoch: 900, L_clip: -0.16, Squared loss: 0.01, Entropy loss: 0.04, Avg Rewards: -4.75, Time elapsed: 46.76s
[Model 6588] Epoch: 900, L_clip: -0.14, Squared loss: 0.01, Entropy loss: 0.05, Avg Rewards: -4.63, Time elapsed: 47.09s
[Model 6584] Epoch: 900, L_clip: -0.16, Squared loss: 0.01, Entropy loss: 0.05, Avg Rewards: -4.59, Time elapsed: 47.14s
[Model 6583] Epoch: 900, L_clip: -0.19, Squared loss: 0.01, Entropy loss: 0.06, Avg Rewards: -4.77, Time elapsed: 47.39s
[Model 6582] Epoch: 900, L_clip: -0.32, Squared loss: 0.01, Entropy loss: 0.06, Avg Rewards: -4.86, Time elapsed: 47.97s
[Model 6581] Epoch: 900, L_clip: -0.08, Squared loss: 0.01, Entropy loss: 0.05, Avg Rewards: -4.57, Time elapsed: 48.67s
[Model 6589] Epoch: 1000, L_clip: -0.72, Squared loss: 0.02, Entropy loss: 0.06, Avg Rewards: -4.74, Time elapsed: 50.74s
[Model 6580] Epoch: 1000, L_clip: -0.21, Squared loss: 0.01, Entropy loss: 0.04, Avg Rewards: -4.65, Time elapsed: 51.32s
[Model 6587] Epoch: 1000, L_clip: -0.17, Squared loss: 0.01, Entropy loss: 0.05, Avg Rewards: -4.72, Time elapsed: 51.60s
[Model 6585] Epoch: 1000, L_clip: -0.03, Squared loss: 0.01, Entropy loss: 0.06, Avg Rewards: -4.65, Time elapsed: 51.62s
[Model 6586] Epoch: 1000, L_clip: -0.16, Squared loss: 0.01, Entropy loss: 0.04, Avg Rewards: -4.74, Time elapsed: 52.15s
[Model 6584] Epoch: 1000, L_clip: -0.26, Squared loss: 0.01, Entropy loss: 0.05, Avg Rewards: -4.63, Time elapsed: 52.42s
[Model 6583] Epoch: 1000, L_clip: -0.17, Squared loss: 0.01, Entropy loss: 0.06, Avg Rewards: -4.53, Time elapsed: 53.17s
[Model 6588] Epoch: 1000, L_clip: 0.06, Squared loss: 0.02, Entropy loss: 0.02, Avg Rewards: -3.84, Time elapsed: 53.62s
[Model 6582] Epoch: 1000, L_clip: -0.10, Squared loss: 0.01, Entropy loss: 0.06, Avg Rewards: -4.43, Time elapsed: 53.93s
[Model 6581] Epoch: 1000, L_clip: -0.17, Squared loss: 0.01, Entropy loss: 0.05, Avg Rewards: -4.75, Time elapsed: 53.99s
[Model 6580] Epoch: 1100, L_clip: -0.36, Squared loss: 0.01, Entropy loss: 0.04, Avg Rewards: -4.75, Time elapsed: 56.80s
[Model 6589] Epoch: 1100, L_clip: 0.26, Squared loss: 0.02, Entropy loss: 0.05, Avg Rewards: -4.01, Time elapsed: 56.85s
[Model 6585] Epoch: 1100, L_clip: -0.15, Squared loss: 0.01, Entropy loss: 0.05, Avg Rewards: -4.53, Time elapsed: 57.01s
[Model 6586] Epoch: 1100, L_clip: -0.02, Squared loss: 0.01, Entropy loss: 0.05, Avg Rewards: -4.79, Time elapsed: 57.24s
[Model 6584] Epoch: 1100, L_clip: -0.15, Squared loss: 0.01, Entropy loss: 0.06, Avg Rewards: -4.77, Time elapsed: 57.63s
[Model 6583] Epoch: 1100, L_clip: -0.24, Squared loss: 0.01, Entropy loss: 0.05, Avg Rewards: -4.58, Time elapsed: 58.72s
[Model 6587] Epoch: 1100, L_clip: 0.23, Squared loss: 0.03, Entropy loss: 0.05, Avg Rewards: -3.32, Time elapsed: 58.89s
[Model 6588] Epoch: 1100, L_clip: -0.31, Squared loss: 0.01, Entropy loss: 0.03, Avg Rewards: -4.36, Time elapsed: 58.99s
[Model 6581] Epoch: 1100, L_clip: -0.00, Squared loss: 0.02, Entropy loss: 0.05, Avg Rewards: -3.86, Time elapsed: 60.37s
[Model 6582] Epoch: 1100, L_clip: 0.25, Squared loss: 0.02, Entropy loss: 0.02, Avg Rewards: -3.31, Time elapsed: 61.04s
[Model 6580] Epoch: 1200, L_clip: -0.20, Squared loss: 0.01, Entropy loss: 0.05, Avg Rewards: -4.65, Time elapsed: 62.29s
[Model 6585] Epoch: 1200, L_clip: -0.24, Squared loss: 0.01, Entropy loss: 0.05, Avg Rewards: -4.32, Time elapsed: 62.60s
[Model 6586] Epoch: 1200, L_clip: 0.09, Squared loss: 0.01, Entropy loss: 0.02, Avg Rewards: -4.69, Time elapsed: 62.54s
[Model 6584] Epoch: 1200, L_clip: -0.12, Squared loss: 0.01, Entropy loss: 0.06, Avg Rewards: -4.67, Time elapsed: 62.86s
[Model 6589] Epoch: 1200, L_clip: -0.05, Squared loss: 0.02, Entropy loss: 0.03, Avg Rewards: -3.59, Time elapsed: 64.03s
[Model 6583] Epoch: 1200, L_clip: -0.04, Squared loss: 0.02, Entropy loss: 0.05, Avg Rewards: -3.90, Time elapsed: 64.84s
[Model 6588] Epoch: 1200, L_clip: 0.05, Squared loss: 0.01, Entropy loss: 0.03, Avg Rewards: -4.09, Time elapsed: 64.89s
[Model 6580] Epoch: 1300, L_clip: -0.15, Squared loss: 0.00, Entropy loss: 0.03, Avg Rewards: -4.95, Time elapsed: 67.14s
[Model 6581] Epoch: 1200, L_clip: 0.07, Squared loss: 0.03, Entropy loss: 0.04, Avg Rewards: -3.34, Time elapsed: 67.77s
[Model 6584] Epoch: 1300, L_clip: -0.25, Squared loss: 0.01, Entropy loss: 0.06, Avg Rewards: -4.71, Time elapsed: 68.14s
[Model 6586] Epoch: 1300, L_clip: -0.01, Squared loss: 0.01, Entropy loss: 0.01, Avg Rewards: -4.34, Time elapsed: 68.15s
[Model 6585] Epoch: 1300, L_clip: 0.04, Squared loss: 0.02, Entropy loss: 0.05, Avg Rewards: -3.76, Time elapsed: 69.31s
[Model 6580] Epoch: 1400, L_clip: 0.01, Squared loss: 0.01, Entropy loss: 0.01, Avg Rewards: -4.80, Time elapsed: 72.21s
[Model 6584] Epoch: 1400, L_clip: 0.06, Squared loss: 0.01, Entropy loss: 0.06, Avg Rewards: -4.64, Time elapsed: 73.61s
[Model 6586] Epoch: 1400, L_clip: 0.02, Squared loss: 0.01, Entropy loss: 0.01, Avg Rewards: -4.65, Time elapsed: 73.69s
[Model 6588] Epoch: 1300, L_clip: 0.27, Squared loss: 0.03, Entropy loss: 0.01, Avg Rewards: -2.35, Time elapsed: 73.72s
[Model 6589] Epoch: 1300, L_clip: 0.59, Squared loss: 0.06, Entropy loss: 0.03, Avg Rewards: -0.39, Time elapsed: 76.04s
[Model 6585] Epoch: 1400, L_clip: 0.04, Squared loss: 0.02, Entropy loss: 0.04, Avg Rewards: -3.66, Time elapsed: 76.34s
[Model 6580] Epoch: 1500, L_clip: -0.05, Squared loss: 0.00, Entropy loss: 0.02, Avg Rewards: -4.85, Time elapsed: 77.47s
[Model 6582] Epoch: 1200, L_clip: 0.02, Squared loss: 0.05, Entropy loss: 0.00, Avg Rewards: 2.82, Time elapsed: 78.36s
[Model 6584] Epoch: 1500, L_clip: 0.00, Squared loss: 0.01, Entropy loss: 0.04, Avg Rewards: -4.35, Time elapsed: 79.77s
[Model 6583] Epoch: 1300, L_clip: 0.67, Squared loss: 0.05, Entropy loss: 0.03, Avg Rewards: 2.47, Time elapsed: 81.71s
[Model 6586] Epoch: 1500, L_clip: 0.24, Squared loss: 0.03, Entropy loss: 0.01, Avg Rewards: -2.14, Time elapsed: 82.34s
[Model 6580] Epoch: 1600, L_clip: 0.08, Squared loss: 0.01, Entropy loss: 0.04, Avg Rewards: -4.63, Time elapsed: 83.08s
[Model 6588] Epoch: 1400, L_clip: 0.08, Squared loss: 0.04, Entropy loss: 0.01, Avg Rewards: -1.04, Time elapsed: 84.81s
[Model 6585] Epoch: 1500, L_clip: 0.17, Squared loss: 0.03, Entropy loss: 0.04, Avg Rewards: -2.52, Time elapsed: 85.52s
[Model 6589] Epoch: 1400, L_clip: 0.10, Squared loss: 0.05, Entropy loss: 0.03, Avg Rewards: 0.01, Time elapsed: 89.17s
[Model 6580] Epoch: 1700, L_clip: 0.04, Squared loss: 0.01, Entropy loss: 0.04, Avg Rewards: -4.39, Time elapsed: 89.45s
[Model 6584] Epoch: 1600, L_clip: 0.56, Squared loss: 0.04, Entropy loss: 0.03, Avg Rewards: 0.09, Time elapsed: 93.64s
[Model 6581] Epoch: 1300, L_clip: 1.02, Squared loss: 0.08, Entropy loss: 0.03, Avg Rewards: 9.05, Time elapsed: 95.27s
[Model 6585] Epoch: 1600, L_clip: 0.01, Squared loss: 0.04, Entropy loss: 0.04, Avg Rewards: -2.13, Time elapsed: 95.54s
[Model 6580] Epoch: 1800, L_clip: 0.26, Squared loss: 0.02, Entropy loss: 0.04, Avg Rewards: -3.71, Time elapsed: 97.37s
[Model 6582] Epoch: 1300, L_clip: 0.41, Squared loss: 0.06, Entropy loss: 0.00, Avg Rewards: 6.81, Time elapsed: 102.58s
[Model 6587] Epoch: 1200, L_clip: 1.64, Squared loss: 0.08, Entropy loss: 0.03, Avg Rewards: 19.24, Time elapsed: 103.18s
[Model 6586] Epoch: 1600, L_clip: 0.30, Squared loss: 0.06, Entropy loss: 0.00, Avg Rewards: 6.05, Time elapsed: 105.50s
[Model 6580] Epoch: 1900, L_clip: 0.19, Squared loss: 0.04, Entropy loss: 0.03, Avg Rewards: -2.49, Time elapsed: 107.36s
[Model 6585] Epoch: 1700, L_clip: -0.10, Squared loss: 0.04, Entropy loss: 0.03, Avg Rewards: -0.73, Time elapsed: 108.24s
[Model 6588] Epoch: 1500, L_clip: 0.11, Squared loss: 0.06, Entropy loss: 0.00, Avg Rewards: 8.71, Time elapsed: 113.06s
[Model 6580] Epoch: 2000, L_clip: 0.10, Squared loss: 0.04, Entropy loss: 0.03, Avg Rewards: -1.88, Time elapsed: 118.93s
[Model 6582] Epoch: 1400, L_clip: -0.61, Squared loss: 0.04, Entropy loss: 0.00, Avg Rewards: 2.31, Time elapsed: 120.12s
[Model 6589] Epoch: 1500, L_clip: 0.96, Squared loss: 0.06, Entropy loss: 0.03, Avg Rewards: 11.79, Time elapsed: 122.11s
[Model 6585] Epoch: 1800, L_clip: 0.28, Squared loss: 0.05, Entropy loss: 0.03, Avg Rewards: 0.81, Time elapsed: 123.02s
[Model 6583] Epoch: 1400, L_clip: 0.56, Squared loss: 0.05, Entropy loss: 0.02, Avg Rewards: 17.24, Time elapsed: 124.14s
[Model 6586] Epoch: 1700, L_clip: 0.10, Squared loss: 0.06, Entropy loss: 0.00, Avg Rewards: 3.87, Time elapsed: 125.95s
[Model 6580] Epoch: 2100, L_clip: 0.24, Squared loss: 0.04, Entropy loss: 0.04, Avg Rewards: -1.00, Time elapsed: 131.43s
[Model 6582] Epoch: 1500, L_clip: 0.37, Squared loss: 0.04, Entropy loss: 0.01, Avg Rewards: -0.55, Time elapsed: 133.40s
[Model 6581] Epoch: 1400, L_clip: 0.51, Squared loss: 0.06, Entropy loss: 0.02, Avg Rewards: 23.29, Time elapsed: 147.26s
[Model 6588] Epoch: 1600, L_clip: 0.19, Squared loss: 0.06, Entropy loss: 0.00, Avg Rewards: 11.51, Time elapsed: 147.24s
[Model 6580] Epoch: 2200, L_clip: 0.36, Squared loss: 0.06, Entropy loss: 0.03, Avg Rewards: 2.99, Time elapsed: 150.88s
