lr = 0.0001
epsilon = 0.1
gamma = 0.99
c0 = 1
c1 = 0
c2 = 0
epochs = 2500
K_epochs = 5
Total_random_runs = 5


[Model0] Layers: 5, Setup: [[8, 1024], [1024, 128], [128, 16], [16, 256], [256, 256]]
[Model1] Layers: 5, Setup: [[8, 1024], [1024, 128], [128, 16], [16, 256], [256, 256]]
[Model2] Layers: 5, Setup: [[8, 1024], [1024, 128], [128, 16], [16, 256], [256, 256]]
[Model3] Layers: 5, Setup: [[8, 1024], [1024, 128], [128, 16], [16, 256], [256, 256]]
[Model4] Layers: 5, Setup: [[8, 1024], [1024, 128], [128, 16], [16, 256], [256, 256]]

[Model 12359] Epoch: 1400, L_clip: -3.53, Squared loss: 0.00, Entropy loss: 0.00, Avg Rewards: -4.75, Time elapsed: 39.74s
[Model 12358] Epoch: 1400, L_clip: -3.54, Squared loss: 0.00, Entropy loss: 0.00, Avg Rewards: -4.70, Time elapsed: 41.06s
[Model 12361] Epoch: 1400, L_clip: -3.59, Squared loss: 0.00, Entropy loss: 0.00, Avg Rewards: -5.00, Time elapsed: 41.11s
[Model 12357] Epoch: 1400, L_clip: -3.98, Squared loss: 0.00, Entropy loss: 0.00, Avg Rewards: -4.95, Time elapsed: 41.59s
[Model 12360] Epoch: 1400, L_clip: -3.64, Squared loss: 0.00, Entropy loss: 0.00, Avg Rewards: -4.86, Time elapsed: 42.11s
[Model 12359] Epoch: 1500, L_clip: -3.69, Squared loss: 0.00, Entropy loss: 0.00, Avg Rewards: -4.87, Time elapsed: 42.58s
[Model 12361] Epoch: 1500, L_clip: -3.62, Squared loss: 0.00, Entropy loss: 0.00, Avg Rewards: -4.98, Time elapsed: 44.03s
[Model 12358] Epoch: 1500, L_clip: -3.35, Squared loss: 0.00, Entropy loss: 0.00, Avg Rewards: -4.50, Time elapsed: 44.21s
[Model 12357] Epoch: 1500, L_clip: -3.83, Squared loss: 0.00, Entropy loss: 0.00, Avg Rewards: -4.92, Time elapsed: 44.44s
[Model 12360] Epoch: 1500, L_clip: -3.90, Squared loss: 0.00, Entropy loss: 0.00, Avg Rewards: -4.99, Time elapsed: 44.87s
[Model 12359] Epoch: 1600, L_clip: -3.63, Squared loss: 0.00, Entropy loss: 0.00, Avg Rewards: -4.84, Time elapsed: 45.40s
[Model 12361] Epoch: 1600, L_clip: -3.63, Squared loss: 0.00, Entropy loss: 0.00, Avg Rewards: -4.97, Time elapsed: 46.89s
[Model 12358] Epoch: 1600, L_clip: -3.37, Squared loss: 0.00, Entropy loss: 0.00, Avg Rewards: -4.58, Time elapsed: 47.34s
[Model 12357] Epoch: 1600, L_clip: -3.60, Squared loss: 0.00, Entropy loss: 0.00, Avg Rewards: -4.71, Time elapsed: 47.48s
[Model 12360] Epoch: 1600, L_clip: -3.82, Squared loss: 0.00, Entropy loss: 0.00, Avg Rewards: -4.90, Time elapsed: 47.72s
[Model 12359] Epoch: 1700, L_clip: -3.47, Squared loss: 0.00, Entropy loss: 0.00, Avg Rewards: -4.71, Time elapsed: 48.30s
[Model 12361] Epoch: 1700, L_clip: -3.63, Squared loss: 0.00, Entropy loss: 0.00, Avg Rewards: -5.00, Time elapsed: 49.81s
[Model 12358] Epoch: 1700, L_clip: -3.54, Squared loss: 0.00, Entropy loss: 0.00, Avg Rewards: -4.76, Time elapsed: 50.45s
[Model 12357] Epoch: 1700, L_clip: -3.53, Squared loss: 0.00, Entropy loss: 0.00, Avg Rewards: -4.68, Time elapsed: 50.73s
[Model 12360] Epoch: 1700, L_clip: -3.62, Squared loss: 0.00, Entropy loss: 0.00, Avg Rewards: -4.78, Time elapsed: 50.88s
[Model 12359] Epoch: 1800, L_clip: -3.49, Squared loss: 0.00, Entropy loss: 0.00, Avg Rewards: -4.74, Time elapsed: 51.45s
[Model 12361] Epoch: 1800, L_clip: -3.69, Squared loss: 0.00, Entropy loss: 0.00, Avg Rewards: -5.00, Time elapsed: 52.90s
[Model 12358] Epoch: 1800, L_clip: -3.54, Squared loss: 0.00, Entropy loss: 0.00, Avg Rewards: -4.80, Time elapsed: 53.73s
[Model 12360] Epoch: 1800, L_clip: -3.65, Squared loss: 0.00, Entropy loss: 0.00, Avg Rewards: -4.83, Time elapsed: 54.11s
[Model 12357] Epoch: 1800, L_clip: -3.48, Squared loss: 0.00, Entropy loss: 0.00, Avg Rewards: -4.68, Time elapsed: 54.14s
[Model 12359] Epoch: 1900, L_clip: -3.63, Squared loss: 0.00, Entropy loss: 0.00, Avg Rewards: -4.83, Time elapsed: 54.64s
[Model 12361] Epoch: 1900, L_clip: -3.79, Squared loss: 0.00, Entropy loss: 0.00, Avg Rewards: -4.92, Time elapsed: 56.03s
[Model 12358] Epoch: 1900, L_clip: -3.55, Squared loss: 0.00, Entropy loss: 0.00, Avg Rewards: -4.79, Time elapsed: 56.83s
[Model 12360] Epoch: 1900, L_clip: -3.79, Squared loss: 0.00, Entropy loss: 0.00, Avg Rewards: -4.87, Time elapsed: 57.19s
[Model 12357] Epoch: 1900, L_clip: -3.57, Squared loss: 0.00, Entropy loss: 0.00, Avg Rewards: -4.70, Time elapsed: 57.32s
[Model 12359] Epoch: 2000, L_clip: -3.52, Squared loss: 0.00, Entropy loss: 0.00, Avg Rewards: -4.79, Time elapsed: 57.77s
[Model 12361] Epoch: 2000, L_clip: -3.60, Squared loss: 0.00, Entropy loss: 0.00, Avg Rewards: -4.99, Time elapsed: 59.11s
[Model 12358] Epoch: 2000, L_clip: -3.57, Squared loss: 0.00, Entropy loss: 0.00, Avg Rewards: -4.81, Time elapsed: 59.99s
[Model 12360] Epoch: 2000, L_clip: -3.59, Squared loss: 0.00, Entropy loss: 0.00, Avg Rewards: -4.79, Time elapsed: 60.33s
[Model 12357] Epoch: 2000, L_clip: -3.68, Squared loss: 0.00, Entropy loss: 0.00, Avg Rewards: -4.75, Time elapsed: 60.52s
[Model 12359] Epoch: 2100, L_clip: -3.71, Squared loss: 0.00, Entropy loss: 0.00, Avg Rewards: -4.82, Time elapsed: 60.87s
[Model 12361] Epoch: 2100, L_clip: -3.58, Squared loss: 0.00, Entropy loss: 0.00, Avg Rewards: -4.78, Time elapsed: 62.11s
[Model 12358] Epoch: 2100, L_clip: -3.48, Squared loss: 0.00, Entropy loss: 0.00, Avg Rewards: -4.81, Time elapsed: 62.97s
[Model 12360] Epoch: 2100, L_clip: -3.52, Squared loss: 0.00, Entropy loss: 0.00, Avg Rewards: -4.83, Time elapsed: 63.29s
[Model 12357] Epoch: 2100, L_clip: -3.70, Squared loss: 0.00, Entropy loss: 0.00, Avg Rewards: -4.78, Time elapsed: 63.53s
[Model 12359] Epoch: 2200, L_clip: -3.64, Squared loss: 0.00, Entropy loss: 0.00, Avg Rewards: -4.70, Time elapsed: 63.88s
[Model 12361] Epoch: 2200, L_clip: -3.59, Squared loss: 0.00, Entropy loss: 0.00, Avg Rewards: -4.87, Time elapsed: 65.02s
[Model 12358] Epoch: 2200, L_clip: -3.45, Squared loss: 0.00, Entropy loss: 0.00, Avg Rewards: -4.79, Time elapsed: 65.96s
[Model 12360] Epoch: 2200, L_clip: -3.48, Squared loss: 0.00, Entropy loss: 0.00, Avg Rewards: -4.71, Time elapsed: 66.29s
[Model 12357] Epoch: 2200, L_clip: -3.41, Squared loss: 0.00, Entropy loss: 0.00, Avg Rewards: -4.70, Time elapsed: 66.64s
[Model 12359] Epoch: 2300, L_clip: -3.77, Squared loss: 0.00, Entropy loss: 0.00, Avg Rewards: -4.86, Time elapsed: 66.80s
[Model 12361] Epoch: 2300, L_clip: -3.50, Squared loss: 0.00, Entropy loss: 0.00, Avg Rewards: -4.74, Time elapsed: 68.01s
[Model 12358] Epoch: 2300, L_clip: -3.49, Squared loss: 0.00, Entropy loss: 0.00, Avg Rewards: -4.80, Time elapsed: 68.85s
[Model 12360] Epoch: 2300, L_clip: -3.42, Squared loss: 0.00, Entropy loss: 0.00, Avg Rewards: -4.59, Time elapsed: 69.47s
[Model 12359] Epoch: 2400, L_clip: -3.77, Squared loss: 0.00, Entropy loss: 0.00, Avg Rewards: -4.83, Time elapsed: 69.74s
